y_true,y_pred,discretized,y_pred_class
0.598040913670562,3.114077230210941,2,2
0.5173126926689416,1.4081942663761668,1,1
0.464592615771292,0.007265240164021192,1,1
0.5861740827546583,3.460801352131012,2,2
0.6042052408775936,3.530318297863089,2,2
0.3983252399825632,-1.1816305723085305,0,0
0.5112324096844412,1.3760725050711966,1,1
0.3578903807154186,-1.9462939318268861,0,0
0.5710218429501617,2.7223064735244487,2,2
0.551760211530839,2.1719972763055013,2,2
0.5164539347556536,1.35099905666202,1,1
0.7158703485902865,6.417114432233923,3,3
0.4252859964604906,-0.5236402261069701,0,0
0.4741098768284516,0.5210536908745951,1,1
0.4343777839986253,-0.6827941371306512,0,0
0.5870212640722406,3.334162197667274,2,2
0.5589488895094812,2.635834398571472,2,2
0.6911492787394707,5.674660667345163,3,3
0.6231724365842835,4.12637172516171,2,3
0.3223784389858633,-2.355265639996587,0,0
0.5069223971298324,1.282554540662184,1,1
0.473767975814367,0.4622837910352479,1,1
0.4446223436351528,-0.4621637749171702,0,0
0.6934467751473233,6.0516259080008314,3,3
0.44029116399130797,-0.46635503042235094,0,0
0.638073379417742,4.532815979084169,3,3
0.4683610323392612,0.4437665085667757,1,1
0.5490330624606659,2.0991023956760357,2,2
0.4780664135799949,0.5651260518807808,1,1
0.6458078353491896,4.733525483156814,3,3
0.4740837692956157,0.26912800212967425,1,1
0.6155299096238991,3.9450341968749463,2,2
0.5264561974288405,1.5377815787666596,1,1
0.30419262165591954,-2.7226430684692042,0,0
0.5249979674778326,1.5356835049672772,1,1
0.47056980490628225,0.35244807932026356,1,1
0.3441991530630041,-2.0059981439438586,0,0
0.5310691208196827,1.3452857545731376,1,1
0.6562713495549789,4.808264807233625,3,3
0.5162414298977793,1.1802754174949337,1,1
0.6757000335078103,5.596468159537149,3,3
0.33290945351793133,-2.3486222496515206,0,0
0.6636450960441181,5.206443563187586,3,3
0.5342717370272015,1.8187441226526242,1,2
0.41369776175290207,-0.7946184542340436,0,0
0.5158425009461411,1.3744991069286745,1,1
0.608894321024022,3.110789476932236,2,2
0.45126516584951976,-0.17081656060332173,0,0
0.3953879673795706,-1.112261466736586,0,0
0.46870556263993257,0.39899103898374877,1,1
0.6258078143723267,4.053246341547753,3,3
0.6095911575416264,3.7235237950468747,2,2
0.6306682304100897,4.39101809137961,3,3
0.6184288407173779,4.1966179603484175,2,3
0.5845046836828495,3.048560726722024,2,2
0.6187605201734265,3.960226298372999,2,3
0.4070542959924067,-1.0505883854312554,0,0
0.3323880800094039,-2.493695276507797,0,0
0.5722904577763338,3.013110155785003,2,2
0.566939651051374,2.556175609259772,2,2
0.46548766319331036,0.3827792526560683,1,1
0.6439002898085128,4.909982592518734,3,3
0.6549916030226007,5.130839886266847,3,3
0.4141498508515875,-0.718331176163397,0,0
0.6717979980531619,5.537538586026169,3,3
0.569486360203039,2.4473811427467416,2,2
0.6907657081054446,5.959007949684741,3,3
0.3515159739083126,-1.910463434346023,0,0
0.48909866604896085,0.8242818706207318,1,1
0.5154915182115016,1.3889066802196433,1,1
0.6104738059317267,3.78927359932174,2,2
0.47641045286498174,0.3200992406031111,1,1
0.5498244305356552,2.0924922884508916,2,2
0.6721140813391878,5.5487726975557585,3,3
0.3418635942929239,-2.2588982219129736,0,0
0.5403406728756617,1.7818721904717223,2,2
0.6850965004671827,5.827285725570757,3,3
0.573347054194681,2.8796685956002275,2,2
0.46965230746900455,0.1644562788799197,1,1
0.3636333169539716,-2.011612652457364,0,0
0.7164763275161948,6.371254996297493,3,3
0.4588596559839442,0.2782872080330814,0,1
0.6251360945406059,3.581035896345656,2,2
0.6298123709005292,4.410028149520492,3,3
0.6215587903135942,4.014191760962333,2,3
0.6414666466581386,4.4091571302255534,3,3
0.5297206522514861,1.9038524752107788,1,2
0.6510862460238578,5.0189776229831295,3,3
0.6879007116394826,5.881529004954436,3,3
0.5925797799453532,3.37090822845225,2,2
0.6866347239251467,5.688880698468891,3,3
0.6694683035490249,5.5198538703182285,3,3
0.6662517839227832,5.3519383173123085,3,3
0.6736942145815704,5.5424783385831,3,3
0.4474683542873909,-0.05524889244207731,0,0
0.3634881517400767,-1.8830896599426337,0,0
0.46237818971444117,0.009916673160344835,1,1
0.42655821168549446,-0.8002589652738774,0,0
0.4406727218835127,-0.3446333082546069,0,0
0.4423622420463602,-0.4403216260692915,0,0
